18359,8,s3,3352,2112,,f,1,845421,big pumpkin crowd.  I don't know who that is in the grey shirt at the front.,img082.jpg,0,US/Pacific,,,,,,Kodak Gold 200,,,Olympus Stylus,195,,,,,,(c) (year) Mikey Dickerson,1999-11-01 02:36:37
11,8,/usr/local/var/photo/8/2000/9/11.jpg,800,600,,f,1,146271,Desiree's room sophomore year,,0,US/Pacific,,f/2.0,0.016 s  (1/64),-0.33  program (auto),f,800 x 600,Baseline,matrix,CASIO QV-2000UX,5,6.6mm,,,,,(c) (year) Mikey Dickerson,2000-09-09 23:30:00
32,8,/usr/local/var/photo/8/2000/9/32.jpg,800,600,,f,1,224865,Arp 2600 in electronic music studio,,0,US/Pacific,,f/2.0,0.025 s  (1/40),shutter priority (semi-auto),f,800 x 600,Baseline,matrix,CASIO QV-2000UX,5,19.1mm,,,,,(c) (year) Mikey Dickerson,2000-09-12 18:10:00
7,8,s3,800,600,,f,1,184044,Math mentor Van at work,,0,US/Pacific,,f/2.0,0.016 s  (1/64),program (auto),f,800 x 600,Baseline,matrix,CASIO QV-2000UX,12,11.7mm,,,,,(c) (year) Mikey Dickerson,2000-09-11 00:01:00
69,8,/usr/local/var/photo/8/2000/9/69.jpg,800,600,,f,1,210978,null,,0,US/Pacific,,f/2.4,0.007 s  (1/139),program (auto),f,800 x 600,Baseline,matrix,CASIO QV-2000UX,4,6.6mm,,,,,(c) (year) Mikey Dickerson,2000-09-14 21:16:02
70,8,s3,800,600,,f,1,220474,Paul working his table at the activities fair,,0,US/Pacific,,f/2.0,0.010 s  (1/98),program (auto),f,800 x 600,Baseline,matrix,CASIO QV-2000UX,4,6.6mm,,,,,(c) (year) Mikey Dickerson,2000-09-14 21:21:00
113,8,/usr/local/var/photo/8/2000/9/113.jpg,800,600,,f,1,202592,Jen at the Coop courtyard,,0,US/Pacific,,f/2.0,0.011 s  (1/94),program (auto),f,800 x 600,Baseline,matrix,CASIO QV-2000UX,15,9.7mm,,,,,(c) (year) Mikey Dickerson,2000-09-19 20:50:02
144,8,/usr/local/var/photo/8/2000/9/144.jpg,800,600,,f,1,200574,I just flew in from Phoenix and boy are my arms tired.,,0,US/Pacific,,f/2.0,0.250 s  (1/4),program (auto),f,800 x 600,Baseline,matrix,CASIO QV-2000UX,18,6.6mm,,,,,(c) (year) Mikey Dickerson,2000-09-24 20:56:00
158,8,/usr/local/var/photo/8/2000/9/158.jpg,800,600,,f,1,201008,"Excuse me, are those Levi jeans?",,0,US/Pacific,,f/2.0,0.250 s  (1/4),program (auto),f,800 x 600,Baseline,matrix,CASIO QV-2000UX,18,8.5mm,,,,,(c) (year) Mikey Dickerson,2000-09-24 21:10:00
18378,8,s3,1800,1215,,f,1,1956299,at one of the entrances,fh000002.jpg,0,US/Pacific,,,,,,Kodak Gold 200,,,Olympus Stylus,5,,,,,,(c) (year) Mikey Dickerson,2001-05-01 03:13:20
18379,8,s3,1800,1215,,f,1,2045835,the sombrero is key,fh000003.jpg,0,US/Pacific,,,,,,Kodak Gold 200,,,Olympus Stylus,5,,,,,,(c) (year) Mikey Dickerson,2001-05-01 03:13:21
18382,8,s3,1800,1215,,f,1,2022881,unclear how actual workers felt about this project,fh000006.jpg,0,US/Pacific,,,,,,Kodak Gold 200,,,Olympus Stylus,5,,,,,,(c) (year) Mikey Dickerson,2001-05-01 03:13:24
8822,8,s3,3008,2000,,f,1,2640875,Handing out flowers,volumes/no name/dcim/100pentx/imgp1578.jpg,0,US/Pacific,,f/4.5,0.011 s  (1/90),program (auto),t,ISO 200,,matrix,PENTAX *ist DS,5,43.0mm  (35mm equivalent: 64mm),,,,,(c) (year) Mikey Dickerson,2005-08-21 21:47:02
13745,8,s3,640,480,,f,1,37545,Copying old reel to reel tapes,media/usbdisk/tape machine.jpg,0,US/Pacific,,,,,,,,,Nokia 3650,5,,,,,,(c) (year) Mikey Dickerson,2006-12-31 15:55:20
16457,8,s3,4224,2376,new buildings at Pomona,f,1,2377723,this is the lab that was built to replace my old one,L1000033.JPG,0,US/Pacific,,f/4.0,0.0100 s  (1/100),program (auto),f,ISO 800,,matrix,LEICA D-LUX 3,5,6.3mm  (35mm equivalent: 28mm),,,,,(c) (year) Mikey Dickerson,2007-07-30 15:25:09
9709,8,s3,3008,2000,,f,1,2778251,Professor Bruce and the cast of the CS barbecue,imgp1834.jpg,0,US/Pacific,,f/5.6,0.0056 s  (1/180),1.00 program (auto) Manual Auto bracketing,f,ISO 200,,matrix,PENTAX *ist DS,167,33.0mm  (35mm equivalent: 49mm),,,,,(c) (year) Mikey Dickerson,2005-11-18 15:28:27
9706,8,s3,3008,2000,,f,1,2990369,Assorted characters at CS barbecue,imgp1837.jpg,0,US/Pacific,,f/6.7,0.0056 s  (1/180),1.00 program (auto) Manual Auto bracketing,f,ISO 200,,matrix,PENTAX *ist DS,167,28.0mm  (35mm equivalent: 42mm),,,,,(c) (year) Mikey Dickerson,2005-11-18 15:30:25
9701,8,s3,3008,2000,,f,1,2921024,"Yi, Dan, and facing-away-from-camera student",imgp1842.jpg,0,US/Pacific,,f/5.6,0.0056 s  (1/180),1.00 program (auto) Manual Auto bracketing,f,ISO 200,,matrix,PENTAX *ist DS,167,50.0mm  (35mm equivalent: 75mm),,,,,(c) (year) Mikey Dickerson,2005-11-18 16:19:48
6390,8,s3,1910,1274,,f,1,464977,wall outside Rhino Records,,0,US/Pacific,,,,manual,,Kodak Supra 100,C41,,Pentax Super Program,10,50mm,,,,,(c) (year) Mikey Dickerson,2005-04-16 23:30:00
6536,8,s3,1800,1215,,f,1,728783,Eyeglasses display case,,0,US/Pacific,,,,program (auto),,Kodak T400CN,C41,,Pentax Super Program,10,28mm,,,,,(c) (year) Mikey Dickerson,2005-04-24 21:25:00
8111,8,s3,1800,1208,,f,1,1752194,Statue outside one of the various weird stores in the Village,fh000019.jpg,0,US/Pacific,,,,,,Fuji Superia 400,,,Pentax Super Program,10,50mm,,,,,(c) (year) Mikey Dickerson,2005-07-12 02:06:56
8116,8,s3,1800,1215,,f,1,1991310,Bikes outside of City Hall,fh000024.jpg,0,US/Pacific,,,,,,Fuji Superia 400,,,Pentax Super Program,10,50mm,,,,,(c) (year) Mikey Dickerson,2005-07-12 02:07:29
8117,8,s3,1800,1215,,f,1,1840382,The Washington Mutual Loan Fraud truck has been parked outside the Washington Mutual every day for at least two or three years now.,fh000025.jpg,0,US/Pacific,,,,,,Fuji Superia 400,C41,,Pentax Super Program,10,50mm,,,,,(c) (year) Mikey Dickerson,2005-07-12 02:07:36
3681,8,s3,2048,1536,,f,1,,Where the CLSA and dean's house used to be,,0,US/Pacific,,f/12.1,,0.008 s  (1/125)  program (auto),f,2048 x 1536,Baseline,,Panasonic DMC-LC33,12,13.1mm,,,,,(c) (year) Mikey Dickerson,2004-08-03 15:23:38
3834,8,s3,2048,1536,,f,1,,A parking garage size hole,,0,US/Pacific,,f/8.0,0.006 s  (1/160),program (auto),f,2048 x 1536,Baseline,matrix,Panasonic DMC-LC33,12,5.8mm,,,,,(c) (year) Mikey Dickerson,2004-09-24 15:02:19
6638,8,s3,3008,2000,,f,1,2709369,me at work,,0,US/Pacific,,f/4.5,0.017 s  (1/60),program (auto),f,ISO 800,,matrix,PENTAX *ist DS,12,18.0mm  (35mm equivalent: 27mm),,,,,(c) (year) Mikey Dickerson,2005-04-25 21:25:08
7506,8,s3,3032,2016,,f,1,1389698,Hun Wen looking like an admissions brochure,up-8-0001,0,US/Pacific,,f/8.0,0.0013 s  (1/750),Portrait Mode,f,ISO 800,,,PENTAX *ist DS,12,50.0mm  (35mm equivalent: 75mm),,,,,(c) (year) Mikey Dickerson,2005-06-07 21:08:08
3334,8,s3,2048,1536,,f,1,1099999,Driving back from Colorado,,0,US/Pacific,,f/8.0,0.002 s  (1/500),program (auto),f,2048 x 1536,Baseline,,Panasonic DMC-LC33,134,5.8mm,,,,,(c) (year) Mikey Dickerson,2004-05-01 12:50:38
3341,8,s3,2048,1536,,f,1,1252379,River behind Parliament,,0,US/Pacific,,f/8.0,,0.003 s  (1/320)  program (auto),f,2048 x 1536,Baseline,,Panasonic DMC-LC33,137,5.8mm,,,,,(c) (year) Mikey Dickerson,2004-05-16 13:25:48
3343,8,s3,2048,1536,,f,1,1283931,"The Canadian Museum of Civilization, across the river in Quebec",,0,US/Pacific,,f/12.1,,0.020 s  (1/50)  program (auto),f,2048 x 1536,Baseline,,Panasonic DMC-LC33,137,13.1mm,,,,,(c) (year) Mikey Dickerson,2004-05-16 13:30:12
3354,8,s3,2048,1536,,f,1,1164439,"One of the side Blocks, I expect",,0,US/Pacific,,f/9.0,,0.003 s  (1/320),f,2048 x 1536,Baseline,,Panasonic DMC-LC33,137,7.6mm,,,,,(c) (year) Mikey Dickerson,2004-05-16 13:55:36
3357,8,s3,2048,1536,,f,1,1170591,Jen is telling me something about the muscle attachment points on the dinosaur jaw,,0,US/Pacific,,f/2.8,,1.300 s   program (auto),f,2048 x 1536,Baseline,,Panasonic DMC-LC33,137,5.8mm,,,,,(c) (year) Mikey Dickerson,2004-05-16 15:31:05
38202,1,/srv/photo/pkeep_orig/2/0/38202.jpg,1920,1282,,f,,910798,met at Ibex ghost town this year,dscf4326.jpg,0,US/Pacific,,f/2.0,0.022 s  (1/45),-1.00 program (auto),f,ISO 1600,jpeg q=95,pattern,FUJIFILM X100S,374,23.0mm  (35mm equivalent: 35mm),,,,f,(c) (year) Mikey Dickerson,2016-03-22 22:26:16
38210,1,/srv/photo/pkeep_orig/0/1/38210.jpg,1920,1282,,f,,573906,didn't remember that the sand dunes got this tall here,dscf4340.jpg,0,US/Pacific,,f/9.0,0.0011 s  (1/900),program (auto),f,ISO 200,jpeg q=95,pattern,FUJIFILM X100S,374,23.0mm  (35mm equivalent: 35mm),,,,f,(c) (year) Mikey Dickerson,2016-03-23 16:51:36
38224,1,/srv/photo/pkeep_orig/4/2/38224.jpg,1920,1282,,f,,852768,big red ones,dscf4360.jpg,0,US/Pacific,,f/11.0,0.022 s  (1/45),aperture priority (semi-auto),f,ISO 200,jpeg q=95,pattern,FUJIFILM X100S,530,23.0mm  (35mm equivalent: 35mm),,,,f,(c) (year) Mikey Dickerson,2016-03-23 20:44:35
38227,1,/srv/photo/pkeep_orig/7/2/38227.jpg,1920,1282,,f,,1145312,there are probably many pictures very similar to this,dscf4364.jpg,0,US/Pacific,,f/5.6,0.0091 s  (1/110),program (auto),f,ISO 200,jpeg q=95,pattern,FUJIFILM X100S,66,23.0mm  (35mm equivalent: 35mm),,,,f,(c) (year) Mikey Dickerson,2016-03-23 21:49:56
38241,1,/srv/photo/pkeep_orig/1/4/38241.jpg,1920,1282,,f,,869897,there's a cactus flower picture every year.  Don't know what makes the petals appear black.  The file does not appear to be overexposed.,dscf4386.jpg,0,US/Pacific,,f/9.0,0.0012 s  (1/850),program (auto),f,ISO 400,jpeg q=95,pattern,FUJIFILM X100S,73,23.0mm  (35mm equivalent: 35mm),,,,f,(c) (year) Mikey Dickerson,2016-03-24 15:11:36
38247,1,/srv/photo/pkeep_orig/7/4/38247.jpg,1282,1920,,f,,797530,having obtained some of the spring water,dscf4393.jpg,0,US/Pacific,,f/5.6,0.0024 s  (1/420),program (auto),f,ISO 400,jpeg q=95,pattern,FUJIFILM X100S,73,23.0mm  (35mm equivalent: 35mm),,,,f,(c) (year) Mikey Dickerson,2016-03-24 17:38:32
38248,1,/srv/photo/pkeep_orig/8/4/38248.jpg,1282,1920,,f,,2212985,"mmm, cloudy",dscf4396.jpg,0,US/Pacific,,f/5.6,0.0033 s  (1/300),program (auto),f,ISO 400,jpeg q=95,pattern,FUJIFILM X100S,73,23.0mm  (35mm equivalent: 35mm),,,,f,(c) (year) Mikey Dickerson,2016-03-24 17:40:23
38251,1,/srv/photo/pkeep_orig/1/5/38251.jpg,1920,1282,,f,,764703,and now for a collection of unidentified Johnson Canyon flowers,dscf4399.jpg,0,US/Pacific,,f/7.1,0.0011 s  (1/900),program (auto),f,ISO 400,jpeg q=95,pattern,FUJIFILM X100S,73,23.0mm  (35mm equivalent: 35mm),,,,f,(c) (year) Mikey Dickerson,2016-03-24 17:55:44
38260,1,/srv/photo/pkeep_orig/0/6/38260.jpg,1920,1282,,f,,1931985,from the hill up behind the buildings,dscf4409.jpg,0,US/Pacific,,f/8.0,0.019 s  (1/52),aperture priority (semi-auto),f,ISO 800,jpeg q=95,pattern,FUJIFILM X100S,465,23.0mm  (35mm equivalent: 35mm),,,,f,(c) (year) Mikey Dickerson,2016-03-24 21:37:02
38262,1,/srv/photo/pkeep_orig/2/6/38262.jpg,1920,1282,,f,,1808874,Ed and the pool,dscf4412.jpg,0,US/Pacific,,f/5.6,0.012 s  (1/85),program (auto),f,ISO 800,jpeg q=95,pattern,FUJIFILM X100S,465,23.0mm  (35mm equivalent: 35mm),,,,f,(c) (year) Mikey Dickerson,2016-03-24 21:39:48
38274,1,/srv/photo/pkeep_orig/4/7/38274.jpg,1920,1282,,f,,1997432,a thing for climbing and chucking rocks into,dscf4425.jpg,0,US/Pacific,,f/8.0,0.0012 s  (1/800),program (auto),f,ISO 400,jpeg q=95,pattern,FUJIFILM X100S,465,23.0mm  (35mm equivalent: 35mm),,,,f,(c) (year) Mikey Dickerson,2016-03-25 13:52:04
38279,1,/srv/photo/pkeep_orig/9/7/38279.jpg,1920,1282,,f,,718762,this is usually how tunnels end,dscf4433.jpg,0,US/Pacific,,f/2.0,0.154 s  (1/6),program (auto),f,ISO 1600,jpeg q=95,pattern,FUJIFILM X100S,465,23.0mm  (35mm equivalent: 35mm),,,,f,(c) (year) Mikey Dickerson,2016-03-25 14:04:05
38283,1,/srv/photo/pkeep_orig/3/8/38283.jpg,1920,1282,,f,,1016156,and we found another adit,dscf4439.jpg,0,US/Pacific,,f/2.0,0.024 s  (1/42),-1.00 program (auto),f,ISO 1600,jpeg q=95,pattern,FUJIFILM X100S,465,23.0mm  (35mm equivalent: 35mm),,,,f,(c) (year) Mikey Dickerson,2016-03-25 14:15:23
38288,1,/srv/photo/pkeep_orig/8/8/38288.jpg,1920,1282,,f,,983408,this is a tiny strip of land between the national park and Fort Irwin,dscf4447.jpg,0,US/Pacific,,f/5.6,0.0011 s  (1/900),program (auto),f,ISO 200,jpeg q=95,pattern,FUJIFILM X100S,649,23.0mm  (35mm equivalent: 35mm),,,,f,(c) (year) Mikey Dickerson,2016-03-25 16:27:48
30622,8,/srv/pkeep_orig/2/2/30622.jpg,1600,1063,,f,1,372641,statue in the cemetery,dscf0660.jpg,0,US/Pacific,,f/2.8,0.0008 s  (1/1250),aperture priority (semi-auto),f,ISO 200,,pattern,FUJIFILM FinePix X100,487,23.0mm  (35mm equivalent: -2147483648mm),,,,f,(c) (year) Mikey Dickerson,2012-02-04 18:33:36
30623,8,/srv/pkeep_orig/3/2/30623.jpg,1600,1063,,f,1,272743,flowers at cemetery,dscf0662.jpg,0,US/Pacific,,f/2.8,0.0008 s  (1/1250),aperture priority (semi-auto),f,ISO 200,,pattern,FUJIFILM FinePix X100,487,23.0mm  (35mm equivalent: -2147483648mm),,,,f,(c) (year) Mikey Dickerson,2012-02-04 18:35:05
30624,8,/srv/pkeep_orig/4/2/30624.jpg,1600,1063,,f,1,423968,inside one of the various buildings,dscf0664.jpg,0,US/Pacific,,f/8.0,0.013 s  (1/80),1.33 aperture priority (semi-auto),f,ISO 200,,pattern,FUJIFILM FinePix X100,487,23.0mm  (35mm equivalent: -2147483648mm),,,,f,(c) (year) Mikey Dickerson,2012-02-04 18:52:03
30627,8,/srv/pkeep_orig/7/2/30627.jpg,1067,1600,,f,1,279095,Pauline in a class picture,img_0475.jpg,0,US/Pacific,,f/14.0,0.0050 s  (1/200),Manual Manual,f,ISO 200,,pattern,Canon EOS 7D,337,58.0mm  (35mm equivalent: -2147483648mm),,,,f,(c) (year) Mikey Dickerson,2012-02-08 00:54:03
30634,8,/srv/pkeep_orig/4/3/30634.jpg,1067,1600,,f,1,246047,not really worse without the blue,img_0580.jpg,0,US/Pacific,,f/8.0,0.0050 s  (1/200),Manual Manual,t,ISO 400,,pattern,Canon EOS 7D,481,43.0mm  (35mm equivalent: -2147483648mm),,,,f,(c) (year) Mikey Dickerson,2012-02-21 01:00:23
30637,8,/srv/pkeep_orig/7/3/30637.jpg,1067,1600,,f,1,369574,not used for class,img_0651.jpg,0,US/Pacific,,f/5.6,0.0050 s  (1/200),Manual Manual,t,ISO 400,,pattern,Canon EOS 7D,481,28.0mm  (35mm equivalent: -2147483648mm),,,,f,(c) (year) Mikey Dickerson,2012-02-21 02:43:35
34290,8,/srv/pkeep_orig/0/9/34290.jpg,1600,900,,f,1,351731,America's Cup AC72 racing on San Francisco Bay,img_0375.jpg,0,US/Pacific,,f/5.0,0.0010 s  (1/1000),program (auto),f,ISO 200,,pattern,Canon EOS 7D,485,195.0mm  (35mm equivalent: -2147483648mm),,,,f,(c) (year) Mikey Dickerson,2013-09-12 15:21:35
34294,8,/srv/pkeep_orig/4/9/34294.jpg,1600,1067,,f,1,628966,America's Cup AC72 racing on San Francisco Bay,img_0385.jpg,0,US/Pacific,,f/5.6,0.0020 s  (1/500),program (auto),f,ISO 200,,pattern,Canon EOS 7D,485,280.0mm  (35mm equivalent: -2147483648mm),,,,f,(c) (year) Mikey Dickerson,2013-09-12 15:42:17
